,Search_Engine,Search_String,Publisher,Title,Link,Date
20,Google,tata lawsuits,Business Standard,IT services' focus on building IP and platforms may trigger more lawsuits,./read/CBMi4AFBVV95cUxNck5OTjlZMXhyYVg2TVN1THV6cVlPaWgySmVqU3Q1WjdOLXVlRFNsQzFDVEFjcXhrVG9xWHpZV3dvVDExM1QzSXgzUkdIV3pHUmxNYkQ2UjZwcFV6dWczWnhaQnN0WUhYWGdIN21QMTRwa0E4ZUlYcjduU3I0empQTXQ1MWxQV2FnU2l6WXh2UVVwX1paM1VzTTZGanFZTjIxSVNza01Db3VoYllTVVIxb0JQSG5VN19kLU5oWjRGQTAxb29vMU5JMWZlVG1ydGlCYVdKLTVVWE92V1AtX1FKM9IB5gFBVV95cUxNLTZ5M0tmSzB1aE8yLUFXbERPbVNHTlNGU015NDQtZmRRWldSZVJLSE5XZUdJWjlYZTdyOUFtSlBCeGdUb2ZXME1EckpsWXM2UkM4QkI3YVFzTmtDWmJpYk1pdlRVUlF6cFQ1MWlYUUN0aVF1ZDNrUHpaNDRURmdNNi14RGpGUDNWVjVTeFlWdk8yaWdETl83Ym03NWdmTERERXE1cG1HSVBHOTB4WTBqenRfNXRsVHVrOWlhYURJenNfWEI1emxjMXpnTjN2MDktWFpUdzNMTjNHR2JBRVFndmFwM2tMdw?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-10-10
21,Google,tata lawsuits,The Indian Express,"From Singur, Mistry, Tata Tapes to Wadia: 5 controversies during Ratan Tata’s tenure",./read/CBMiqwFBVV95cUxPZy00azZBM3VFazEwWU5rUmhPMVpOYnRYNWRWSnBacmVGWlFmR1NKRU5semJ4WnhMWXFqRC1BOW0zRzhfMGR2OXNQUWo5N2RSaEpObUVkM180YlE0RXk1ZHlGSUdSUVB3dkJBbGxNWXFUY0xkTTNBTlkzM2JCM0FsaC1TNXBwbDR0ZkVhWGd4eHRDZng5UEE2LTcwOTBxSVczeVlLbEhKdFkzR03SAbIBQVVfeXFMTWotUEYwYlN2VU0zZ3VyTldpMzhwRUxCMzROWnRDUmVqQl9jNGdla2xRUnVnTktrb256azF2VURsY042RFBhREh6Wmw1Q29WemNFOTQ0Q1BYZUlueTV4Y0NRdXg5eUFsOGY2TVVGTVFIMTRaQ3pWblhPRXl4Y2EwRUNMVnlTbXBhME5MeDhKYWtHQ0xJMmc3Y19udzM4S19fNGpQYlZocEszdzd4clR2d3JkZw?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-10-11
22,Google,tata lawsuits,The Times of India,"More than 20 fired American workers have sued TCS, why and IT giant's response",./read/CBMiogJBVV95cUxQaHI5dVJGbmtBVFU2Nkp4QkpKTjlHdTdTamF6VGtmN3JuenBBOHlqZloxVXBiUVR3RkZpNXplc1FhMmcySjJTOWtMZHFmMERKVFhoV19sVTNMQl9yR2l4NllRdWxCdS1SZm52ZjYxOFo2X19KRGFOZzJqNUVvQTZfRm5ObERwZkJaVTlRSlFhUXhPMmhwc3NoMDJ6Z3R5UVZWaFJXZ3YzbmVmWDc2M19NVjN1cjdYTFQ2N3ZiVDZQMUpoQmVzdk40R2lsNnFMU0h6TzN5UTZKRENNczFrLUx1NlIxZ0Z6Q1UyTDlzNkJlR3phdFVraWQ2UDNUSnlOX0I5a3RFb1dHS2pFZWRBQUs0LUowUFBzTGFZc1BwVmMzYzAxd9IBpwJBVV95cUxNUFZ6V3FCSzczQzNETzNob2xlMGVXckVRcnBOR0ZvUG9FVEF1VUtlR0NCcjZOTGZEMml5TnZBTTI5RlA5X2E5Ny0zb3hRQnRMWXJYcHhRQVBFdjB5cnJ6SmlmMElOcUVLT0dsZm1Qck1kZ0tROTViSGw3a01yOGZzU281UUR3UDFMZHpjWFFXNDdNcnk2ckp2bk9Fb3hoZlVlbFRvX29IWUY3RVloZm4yTFplY0hYRDMxYzVGclljYk5xQjlVclpDeWU3dWMyNEg4WnB5Y1RkS1RPSmZNZUhxeGhRWndfalpNZ1RLeEtXT015eDRBdFhDaFpzR05JNXFSOWlTX2dobF9YQ3VaWi1NeVpIV0lVSUwtLTVpVkNQTHFZa1IzNXl3?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-03-31
23,Google,tata lawsuits,Bloomberg Law,"Tata Fired White US Workers in Favor of Visa Holders, Suit Says",./read/CBMisAFBVV95cUxPdzBkUGdBbnlpdWdoby1OeFVSQzd0NWM5dm1xZDNuRzh6NDZpWFVaT0Z2MmhyMlBHcW0wUU5LUWZHMjdCdjdscG03cTFUMUoxcEo4RWo1YlhSN2JSa3ctVXdtZW5jU3hSSjNxeVVPcE53Nkt6d0VrUmFOcnduZ1BxUWo0aDhHNTUya2dEdVNVbHBhRkVDZWM5QmJlQzFwQmNDV2kzYnc5cmlqTmtnUlRNSA?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-04-09
24,Google,tata lawsuits,Business Standard,TCS accused of firing US workers in favour of Indians on H-1B visa,./read/CBMi0AFBVV95cUxOS1gxX0ZwZmdRWE5MWVhMYVVnNnEwanV0aTl3aVNqcVFXdmkyMzRhVHNtWXZWbG9kV19KblRzdU1YX3RQZE9yOVJkN1g2WVUwVHczcmliRUNTV1dMaUZIbnN6ek9LZ0QtTV9TVWdsNnZ5c3g3RXI3Nl81STdfOW5hR0R4OFJoTnYyamlOOEMyVzRhWEw4THpHTEJlaEZqUGdpNE9CQV9MQ1h2aEE1U3d3SHg5dFRGYzZ5VDdjQ1NpSHF4eW1SYUZ2RWppNmFELVl10gHWAUFVX3lxTE1PYzdVSldLemtlc3hCdlpTaVVDTGtXcVVqajNMcWJOZ3VUMFlsN0poQURxYlFaUDA5M01VZ05JVHlQanJrOFZOYnZLQ0FNVi0zN0xaVTRoYnNJTnNNbUZpSUtIaXZ4SngwdUpFZ3hyckNUWWVNZ0g4VUhxcGRUU0pnMWJLbm1jQ3p6NFo2cnZqTzF6Uzh2dmlSdm9SLW95M3dtQy1CZnJ2WFpHN204TG1VUW9lNWpRbVpPVWpxMXVDQUdFT2JSci1FcDlVNno1WW9ENHJ5WEE?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-04-12
25,Google,tata lawsuits,The New York Times,"Months After Hamptons Tragedy, Widow Contends With a Tangle of Debt",./read/CBMikgFBVV95cUxNM0lTOE9sRVZGTldNVExYUzZ5ZzNvY3FvRUdNTUpGM0UzWTIycHF4dHJUcmdhVFo3ajN5TnlFZHkxM3pVQzFVT2h1RFFIUGpES3M0TG1MUDFYajdPT1VrOWtFVVNpNjF1LXBIMVcyMXlUMnRKMWpmNUMyd2gydXZ6RWJBanB4bFZEdTZycVlHX29Fdw?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-12-27
26,Google,tata lawsuits,Outlook Business,TCS Asked To Pay $210 Million Fine To DXC Technology In Trade Secrets Row,./read/CBMirgFBVV95cUxNRlB3WVZpcGh4Z1BGcVlvdTE3Zl9MMGZjZlY4eFZPcGZqQVNGRW42VUVNeDZwemRrWWlXX3NsbzRkbkl0ajFuMnIxbUlORjhyYzk0eUJxRmRsNFJBUEswSnBBU3lkWWxiVjhDN203LWNCNnh2V0FDYnp4MnNVaEVoSzBBQ19zM1hwV0RqSWhYOGpTTEZhS2t2dEpYNzlLTlo4dDZpdGFfdnU5cHo5UnfSAbsBQVVfeXFMTm9qOVdxQzJkRmlhWFczZkVuaEtOem5vV204TU8yd2lrZW0wTmw0N05fV1hKY1RKajRGM20yU0ptb2xxdm9jQWVtNVYxdEJZamc4N0VqaEU1MTVUWFlFQ0Z6bVNkSXNNUlhnX0hPVnZOZE5vamtrVDBUdG1FMXBzMTY2WFJzN01UUEZ6UFdtTV9QVHFYYjJTYW9WNHhaQS11M2lvd3Z6R2NoTFdpYmU3ZlBWN014ODhOcURjSQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-27
27,Google,tata lawsuits,Mint,TCS gets partial relief in racial discrimination lawsuit in US Court,./read/CBMi1gFBVV95cUxPN2k1MWlTQW1JZTAtMVdoOFdkODBfaG05WWk1ZjlEWjMwQVBCVF90SWdRbUZCRHF1czlOUE9RX25Vc3ZKUEZxNU1uV3lmTDVMQUdPLWJhY1EwUUVhS1BRR0YyOEQ3MDVrWWlsemh5VUJkNjZJRENlN1hsSnJDY1o1UjdWNXdoY2pqVmR6VHBSR0ZZVHdOUm5BYlQ2RUd1ZWRBRmZ6WUZpZGxPOTZxdG1PWC0xdHBRMHpsQ3FNaTM4ZTJORjBqZ0Rla1BvSFUtME9YeElkMVlR0gHbAUFVX3lxTE9XMllVcWVSQ0lGS2x4a05WQ0hYZjdpU0tNMFhYV3dZVWdrZkM5ck5Fa3U1VmhLeWxlT012U29aMnhHQW03YzRvVG9NSUFzU3FBSzJzQmVYVlZhTHY5ZDdMU25sNFl6R1VGZEt3Wkw1Z3N6dm9wemxjWnhJVVpUUkViMVZXUDcxdklocThiS3ozajB5Y1FrTU05R3YzVlpwc0Etel96djJUc3VTSm9ZakYyZXBRS3ktVUdidG9NZE5UalM0eG1GQ3UzM1hlY2VNYmM3cmhzOGljYjVoaw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-23
28,Google,tata lawsuits,The Economic Times,TCS gets some relief in discrimination lawsuit,./read/CBMivwFBVV95cUxNUUxya2ZYa2F1aWhkSVZDcE5yWHFDenIyWUVucms1X3pjMnBnRHZUM3B0a3BDX3FFZkpVMEJMeXBLZjYtUkhkOU1tTFB0ZWxEUFV3R0tWSWotRUVQcW40S1B1a19sTE5jVzdaQjdBZlBwdWlzOG9BOWVIOVZUajlmWVZQdFJQME1lUHZKeW1zSG5DT09kSDhWaE9TZVJvVlRjQzFkQ01IejlsZFAzT21ZRTdRZTdicW54QmtxTzJyY9IBxAFBVV95cUxPaFhjdjFiTGZaU1dHOUNLZGpOSUhpaXhlazUzS1dZSHJXZXRaV1FfQlJSaDhmVWtfUjBSeTc4UGQ4a2NCV3ZWNk9mZEppVUVIbFNjX3FBWGJLQ1RKZzVaNEhzN0tOMUpvcmR3LWRlQ3d5ajd4dERwVk45YUxHS2JPRHNieG94aGZMdGJBTXZTSTkwTlZ4b1NsTEVxVk9jTEVUQVJmSTJzeUphM0ZOLWhwVUpndWtkVkd0MXlUeUMxT0NkMV9I?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-22
29,Google,tata lawsuits,DutchNews.nl,"Third court case launched against Tata Steel, calls for closure",./read/CBMinAFBVV95cUxQSjVlMDRyOEhPVC1LN0Y2ZXppX0FDZzhfSFljdFBLQmRtVnBnVnpaR082R2JPZ2xfbWtjNUMwb2xNb0ExSW5rYmZlZ0N2OHBhTTF1WjNnM0NpbWRDVnhYdGxZYi15U1prY3J3WFZxTzVxSU1WSHBCZVJNTUMtOVRVcFpwNFJubUxxZFQwYmJMbjJaMURCNllDSG1GSl8?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-05-27
30,Google,tata lawsuits,Fierce healthcare,US Supreme Court rejects Indian IT company's appeal in Epic trade secrets case,./read/CBMiuwFBVV95cUxNOXVxN0JmUG8yQnFyRWRPZlhsRkQtNGcxeGxZZHB4VWVnaUdZeUNzUnFqVm13WHZfWVJicGpyY3JWOFVwbnJjaXFDeGZNaDAydnVZYmlsQ3p1aXBTVWNnZ0xEa0JCUEYyLWRCX2xUOWZsLTZ0MEdxUGt6aFFrWk93dEVKT3BrMFVrOEpJVmM4QnJnUEdkLXZjUnk3Ml9tR05lWE95MkZGQlotUFhLc0ktNnNvZ3FpQUlUejBZ?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-21
31,Google,tata lawsuits,CarDekho,Mahindra Responds To IndiGo’s Lawsuit For Using The ‘6e’ Term In ‘BE 6e’ Branding,./read/CBMixAFBVV95cUxNRFp0QUVFZlVQbm1CNDFPTVczdEhfd3o1R1UtdnVWa2FFRTFDd3prWmdzZUgzVS15UUlvSkhoaVcwZm9EWnJDY3VzdGxHanJ2WEo0U1I5QXFHOEtvNnlSYlZ0b2owcHpVRFkyNjlXTWJGT3BEUUNoVDE5M0NOaTdBTGdGZjNwQ1RfYlhGUEVzQ0kzLUliSE1oQ2U4YkYwYmMzYmNTSDU0Mmx5anFPU09CWEdxdTB3VHFFTFZYOFVEc2twZUZp0gHMAUFVX3lxTE5tRnZaOXJCNkZCRE1MN2wxeVhibW5LLXFDTW1YN0VqcTdhRjZfZ2NnUTNYX2dlX1BOWUZGYVdidy05VVNleTQzQTNiMm9OTWxVQ0tmUzAzZlFoRUpqbTliOHhiNm8zV2FNcTFyRERSd3AtOWlXaHdrRUk1Y0ZyQlk5TmVJb2FDelpEOEhtVE1wQ2VJcG9hdDJ5RmRQT0stQVllcXA1Y0JkYXBKcHd0anFobU9GQWdfZWp3WG5HdmpQbnctY3RJS3QzdDU0WA?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-12-03
32,Google,tata lawsuits,Business Today,Tata-Mistry dispute: Behind Nusli Wadia's decision to withdraw lawsuits against Ratan Tata,./read/CBMi9wFBVV95cUxQcW5vb2VFaWtKZE1FMkpwYV9WUzcxWHFkZ0hDZEF5OEhkSHhQNTVJQWZmWHFnWDFkZUZWRnUtVC1MdDNJSUJKUUtrUElFTjBzcU9yVFRHMENHUXFhRExVdVhoOS1XVWExNWpwSFpvYkxOVEliRTcxYjRPZ2Y0NTFWWVBMby1OYzJ5N1JqNUQ4a0hKNXZWOTJNbEwxYkN5Q1ZEOGJYM1FFOVJaOXdzVXh2UVc0Nm0zY09kejRJVDh2M2JDbFI4bUJVSi1QZUhDU3pLUFR1aUJjYUxobWdUdUoydFFBZEwwcnBIRXlsNThILWVmODRDUENn?hl=en-IN&gl=IN&ceid=IN%3Aen,2020-01-14
33,Google,tata lawsuits,Reuters.com,"Tata Group unit owes $210 mln in US trade-secret fight, jury says",./read/CBMiswFBVV95cUxPbkVzck1FV09jTkMxUjZ1bE5Oc05yNW5Zb3lUZWI0dnkyZkk3Vkl6a1VlWWNSNVAzaFJxMlJhcUNmdFQ5eGJoTnk1TDIyaFA2bmlXSURZY1RrNW9YZlBaNzJTeWljdUlwaGMwcE5tMWhwSmM4OWxxaVp0OU8wbTEtRS14SGhpU0Z2R1pLdV8yeU9WMjIzMHlZTzFaUmR6UWxzWmltNk9yWU5FUnZ6cEhIaXF4dw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-21
34,Google,tata lawsuits,The Economic Times,Dutch group threatens lawsuit over Tata Steel pollution,./read/CBMi1gFBVV95cUxQZTRQcDJmZEs3RFFmZVZ0SGxJMW90YWtMUzdIREhiTzUzczN1NlhlN204eHREX2VPWW5wcXNqczBMZWpQOXRWQ0xhMm9UaHo1X1VSTWFUbkhmUVBtSkFkNUpNRm8yaHVjYWdvdHkxSDNpN0JldDk5U0lnSWV5dUctUm5aUmZSTVd5MXItNjYtb3R3LTJSYXV2QlZlNmtrMVRGczhSVVJfQVRaZUNzUFpDSUZrYmZ5SUZFSDFxNGtoNlAyZXhBTUpROUlRZ2w3RkpnU2hWZzV30gHbAUFVX3lxTFBLMnU1Ty15ZVlnOUhrRDdRV01tXzhRVmJEQzZzTEY2YnowUGVBREhGZzJtWFlBdEFVYlFQVmlMMXROYUFYTnYwcTB0a3lXMllqQ2VrWklWcWlmUGwwdUt1QnRGeFZWazBBRUJyMkNkUmc5RXdQcWU2MkhuOTVCaFMwdVpualY3YWc0djZZVE5qcVRKYU0xcXpVcDJjS0lTSGVHTUptSFdhMHRicWJXMXhQRVpIamU0UllWTktYWU4tbHUtdlJTdFNMMjhpeU5uNUw2aVM1VXQ1bzRrYw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-24
35,Google,tata lawsuits,The Times of India,"TCS fined Rs 1,600 crore by the US court on complaint of this US-based company, here's the company's BSE",./read/CBMimwJBVV95cUxQbkZKTkJSSTNVckR5RmRtWkZOOFdtQVNOYlpJNWJJTWE1TTBiX1V5WFJ5WHh5MjNGT20wcGFfMHVrZDYxTm8tZkMwbENKYkVGQUNYV0UzNUZJMjdCSXVmNjFaUGRWUWFtczNiM2xJVzBPWlpYNGpSNnRaSEczVDlEUkZrVzV2ajR4cGx0QXZQUDAzdHUyeHJNblVsWTNMQnBUeEY4Z0FTNTVMamNkQlM2TlJ6a3Fkd1UxR2thWFVGLXFNekVkNGVGazNfRFYyLWlFcHpTNy1iVUUyY0o1N05fM1p0VVEzNjU4Qjh5QmtoV1Q2SWliVm1WVTFYa2lybmZYbUUwUDlFQ2Fxa21MNkp6c0pxQ25WOHlwanlZ0gGgAkFVX3lxTE9Vby1jclVIQjR2M1NyYUVEM0RjTnJvaXZBeExyckdSVGJZRkpMbnZFeDJGc2p6a1ZTV1BjOC15eno2dzFGQXRCbjlxQTQtNkc2Rm4zQzlDU0s3azhJR1ZVbi1tdFpRMFdoSkJLcTBXaWE3RkpNcUMybUN0M2lRQnNYS1E3cTlUUEJHVndoVmN6MUtNVkJ2cHU3Vk9iYTBnM2VIVGEtQXBmUkJzcWVUTi1ESVNZUzN5TGR6S2tXYk1BNWJzd2FSbXZ3ZWo1Q2pqTTAzWjdvU2tMYWVhalhNdW5zM1JqOHRlSG96Q295MzhxOE00Yng4a1YyVWUzX19RVTBiLUhjUlYxWnJTN25zbXdITk8zYVJ2WHpHWXJQUlBsOA?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-06-21
36,Google,tata lawsuits,Business Standard,CCI clears Tata Motors off charges of anti-competitive practices in 2 cases,./read/CBMi3AFBVV95cUxOOHJ6Z3p1ZndPTV9BQzR1NTlqdW9zd0tCNDNYU2pHb0g4RlB0ajZlbkw5NVExU3Y2RU1GTnVmQThveF9LN3hGbzJ6d1dpVHFXbHpUYUc0clZZaWI5WjU4anZPTXQ0bWxYNzQ5VjdhaE94MFJlaTEtdXVXaTRFdU1mQ1Q2WFkyd2d5OGpWeURPcFRVeUt6QzdJcFhZaVJReWdaVzFoeDNIWXBKYkREV2RaRkpaNVpsZ3hKZTM3cVdmdDRqWjRDcEN2ZGs1Mi0yWVNVMXl2WlFwempvTVJV0gHiAUFVX3lxTFA4eW90UzdfMnhGYVQ5UDNYWTM4ZUx4ekZzRm5RM3ZTc18xeFZSRVNaNk8welpYQ0IwZ3J2YlZ0SWRwLVB5NjA3OVlKcFJOZ1Blel9Rc2ZhSnAwVHlqXzRxYV9FcTFvNkRWeUotSFJnVnlqSnZTbHFld28xcWZVRVBPQldqVHhTQXNtcDdkTnpQZEFtY0xsTjYtVVlQV3NQOUNIZHdVWHJTMFA3c2NpV0hQdmE4djRFRi13T3AtYTNrODVmekhTSVNzYUJoRllmNGJFNzJNWF9maUpTcUNGTUJsbGc?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-23
37,Google,tata lawsuits,The Economic Times,TCS faces $210 million penalty in DXC lawsuit,./read/CBMivAFBVV95cUxOb2NLR1o5ZHpRM0NDUUtOOWQ4UzlrXzIxMU40dlJHRjl3cE5qNGlzUnBEXy1zY0l0emNBM3FvSTJqeEJpME9WTHRSc2kzWi1vWkcxQzNCWno2bUVxQ1lXRDRIY05VRVlWazUzd0tOSUNjQUhvNHBGc0x6aDZKOGJHTTlGd1RQdWpYQXZBRHNfbHhLVkxXYmVWTnJROUtlYTM1cjl3VzRIeUFBWFZjcmdRTEZZdkVpd3VlZXJhY9IBwgFBVV95cUxPSHRBRmtuTmVDd3pCcV9XdldwTVhLdUZrY1gwRWJLczFQRVBlOHY0LU1jWVlReE9JdzA3SGxKc29nSVpjSldIQ1JQVV9UNk1JR09fdFFDM3REUWdpbkw1dnFOOEtZRGRfOWppUTRIRGJDeUh0NUVFVC1yYXhBbjdLY3czZ2pNQmNacG8xR2ladzM5R0dtUkxYWFBENGRuZmRxM09xdWdTbm81NE5MalQ5MmU0N0ZSX3BIajlfNi0xTGFiQQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-27
38,Google,tata lawsuits,The Economic Times,US techie sues TCS for discrimination against Americans and favouring Indians on H-1B visas,./read/CBMi6gFBVV95cUxNQXhqYVZTZy1IeXhwcmo2Z3lKbDBWUUxpbDVHUzRkWkE4MWN1WWZVWDJ4aXBNclE1WnoxS2RBY2ZIUjEyOV8xSHJSb3R6ZVFVdEFrM05TS1FrME5IV215TlkwemV1dXp2MHlvTFFOOENBQm40VVRqc3NNWUZqS3p3bDJaTUNNZzJoeVVjbEpfVkFfa1p0eE95QThEek9Xbk14RGtxMVVZSnY4YjBMUjNWTjJhZ20zaWFNb29jSVp4bDNFdG1zRmppcGVjZGhLQUxzQldwdG1yWG9xa0xiMDA0aHB1TUEzejZlM1HSAe8BQVVfeXFMTUFRM0d5bDFjTTNoOGhlQml2SUJ2Q0RKSVdrbG9pTG00Z2ZBUVpZVHpuQUk5NENTcUpRdlc5VlNkekZ1RWZBUElzSnp4aldTREpkMk5WVENvd1hJRFZ0TTZDdDYxbTJyZVl3MEF6VTYtVXR4N2c5X29Ba3h0UzZDSTgxU21aSDFFemJKVzVfdGVDZkZtY0Q2ckoyMHRQYmg3WF9QNDJmLTZqWmV0NEtVempiWG11ZFJKN0xWM1JLNGxOMHhUTmVfSldvUnQ4TVpvU0ZJVWwtd2twRy05bW43T2twS1dVTXJyLWxZUWdmM1U?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-04-12
39,Google,tata lawsuits,The Economic Times,TCS makes provision of $125 million in Q3 for the Epic Systems penalty after US Supreme Court rejects its,./read/CBMixwFBVV95cUxOZVdOeVd6am1vaGQtYUVfYXJ3ZU15WDBPUnNld0JVc2k1TjFJamJXb25nanR3RjVueE1NcWVnbU94QjhNUGpiYU1lbGxaSXRYV0hIRmwxcVY4bUJ5enUtd3gyN3NrVXliWktUcFN2REdDUWJTVlM1N25TSnE2YkRfZzJiV3Vxcl9NZDFraTkzYjE0SU1vVEw3cUY3dVltSjljcEhhbjNMcFNzd2RhMER3bURDSGpmVFZfYzJ1RWh0ZnFGZHhyLWxJ0gHMAUFVX3lxTFBKb0hvZ2pCWUJ2aFAzSFd1TGRlV2VrbERla0E3LXRsZGxMMVllVlVIUHFERk00TGlvc2lTVDdiU0RuRzZUaVVha2tVWkZpcTRIZjBWWnVsbUlUNFNLWnV4R0E5MEpCYXl3TktSVkE3dm9MbURSV0sxWmNKOFQzRkVBc1FBb0RKQ0dIQ3pJM3JxblNFTnhMSTlneGN2WHZXeXktZk84SklRN3ExblVvYWd0N3pIVlNlUHlBMWc0ek1NcWdPcUFXc3NXYUJrdw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-21
40,Google,tata bankruptcy,India.com,"Meet India’s first female tennis Olympian whose diamond saved Tata Steel from bankruptcy, she is Ratan Tata’s",./read/CBMi_wFBVV95cUxNeWNqT0RyZ2dJNGM0c19mQk5pYTJjRUNXb2Q3dmRyTVFpZ2d6N0hlb1NpR1lzM1NDTXpmV1ZyQTZtUkJmLWJRZHhRZjk4SVduMTc1RjhIYjBMNjc0YzlGR3hPZXVsekEwU1JwZkNvT3JoUXBxWTRaZ19XRFNtOFJHX1piT2kxVlBLMTlFR1M2cktpYmFKWU8xSmI0dnZ0dE9Ndi1kTmVuUjluZjZpSlFWc1FzSk50Ui1veEgxSmdUNDVMNG5oWlVWWGRTbzl3Ync3VnJvREVTT2VJTDVuOUh5R0JSOFUxX2NaSWNlTVJjRjFaelF5VE8ybjZ2eDJ3ZnfSAYQCQVVfeXFMTkZUd25ISmNaVGxGQUpLY1pxTkVKSS0tZk9ZYlBHU3FybDJlb3ZXdzJQWDNTVzI2WUItck45cTlPaXNSLUxKekkzemNyNi1wT3RUWnBvTFFRMFFhNkYzUWt3LTZOdnJra0drS216ZWtnYi0xaWFDWEU4d1VHdlpVM0hZX2otNlY0WUQ1OGRtbURqaGFzZUNTV01zbTZZT2pNODNvdUUxMkhrWjdfNVJCQ2JUSk5WbTRPR21WZmdrRkM1MmJBN0M0ZEFJQ1pqUW9namVYTDhJRlhPeGpSTV9xUEtIR2drbXFYTVJVS2RKZk16X1RVaE1EeDZ5ZU5SS1RVbkR2ako?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-11-04
41,Google,tata bankruptcy,India TV News,Ratan Tata got 'revenge' by buying Jaguar and Land Rover after facing 'humiliation' by Ford | INSIDE STORY,./read/CBMi7gFBVV95cUxOUDJJYnVicV9SRG5QdmEwUktjd1dzMWZZU1gxZFBLRm5tSVBaX1ZaME9yN3c2Q3lMUHNsUnNKRGgyTmRxaENjams1UkhpNWxlYWxyMExMMFJtMG9melZlcVFhSlo3Q2V6c2FfQ2gzel9CbjNMTHlNSC0zU2oxU05leEZodnN1U0V1UC1CMERVdmRjTFMxU3UyRksxNHlQZy1Gal9nN2g5Z1RtQUdndFhGV0lFV3dzQW84SUIydXBKeTlrWFhoQ3huemtBa0VsSzhpT0FUNUxtRkM0b1l6NjJfc3ZrSE5KbTE5S2VUdGZR0gHzAUFVX3lxTE55eVY0SVlrR1ZGcGthbTJpUUROM1pqWnZhZWtSa0djV1BFQmtvUGViSG8tTHRVZ3RtdkU2bjNRSmdmZ3RGQXN3SlVGYk8yTGxienc4YVpqYU1fWHIxY1hJdUUwOFA0Mi1aRFBCNXU2dEUzR1R4MmtMMURiZnRGQTZvN3lKX2lPSnZ2dlQ1OWFvNzZQUThVNjQwa2VFeVFtc0RiS2Y1VGtOZzllMTd5MndvdjhLbTA0ZUxrQUI1bDFmbmZoVkE3ZWJvSHJ1aGZYVE0tZFlVN0I2VFlpWkx5UWRkVVNKcWJuNnc4YVpMcTd6bDloQQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-10-10
42,Google,tata bankruptcy,The Times of India,"How Ford's insult led Ratan Tata to buy Jaguar, Land Rover",./read/CBMi2gFBVV95cUxQajF2Q3o2OGVUcXBfUEdrRGNIdGtZZTEyclQzYjc1NGdEN2thVXp1QnZTbDBMMFgwOGczZ2Z1T05zY2J1ekNQRkhQSUlUSThvUEZSVnlHS2NYd2dLeXp4MzdibGxSOG9BX0x3WW1JUHQ2TWpzLXdjTEx3VDVqSnlFU1FtcFlhTHRPUnB3djBZdkJmNFJOWDZLRjhaTm5faS1vZEwyTTUyOXY3X0gySmppVUMxTm03aWxoSXAzLTZvc1E5WTRUNUxSaGU1cUxqUnd3N0MxWUhjTDByUdIB3wFBVV95cUxPQVpEcjQ2TUhLbTJBWjFqeDduMDZNc3F4YVR4MUFLQkpXc1lRVlFJRlJrLUhyUHd4VEUyeGY0cWdSQk9FaVd3S21JMS1LSXpjeWM0cHRPY1QwMU1lZi1tX3NjbFFoNExJR1Axc2xta3NxUjk1MldaV1RvYlJGdGVJRzF5WGcyUlNSakJlWTlqQzZCY29jX3JrWHhKODZmbkJUbVJaMnZJUDdUcUhESmpTWkh2UFdTQ3ppaXZoaHVUWUdJeC1Hdk9TYmVhZ0NGb3UxaFJlRFZMQXVkT0dPdGtn?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-10-10
